,0,1,2
42,2022-12-05 00:34:03+00:00,1599562710995283968,"@SebGorka @OlivaCigar Oh man, I miss that place. This was my room a couple of months ago. 😉Waldorf Astoria. Right in front of mamila mall"
43,2022-12-05 00:33:30+00:00,1599562572180512768,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
44,2022-12-05 00:32:25+00:00,1599562300582940675,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
45,2022-12-05 00:32:14+00:00,1599562256227762176,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
46,2022-12-05 00:30:13+00:00,1599561746620219393,"@ananavarro Oh lawdy...like her drunk Waldorf Astoria video which she deleted, here she is drunk rambling again."
47,2022-12-05 00:28:58+00:00,1599561431095050241,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
48,2022-12-05 00:28:53+00:00,1599561410580598784,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
49,2022-12-05 00:27:59+00:00,1599561184503816192,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
50,2022-12-05 00:27:21+00:00,1599561025673908224,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
51,2022-12-05 00:26:50+00:00,1599560896019197952,"Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria… https://t.co/PsV0Umrbu7"
52,2022-12-04 23:40:27+00:00,1599549223191691265,ROCK AND ROLL HALL OF FAME DINNER PROGRAM A mint condition program and menu card from the second annual Rock and Ro… https://t.co/oyaTjPm46T
53,2022-12-04 22:54:21+00:00,1599537621843091456,"RT @behindthebagbtb: 12/12/1938, Waldorf Astoria, NYC: Brooklyn triumvirate of managers past and present (L-R Casey Stengel ['34-'36], Leo…"
54,2022-12-04 22:46:30+00:00,1599535647097643008,"12/12/1938, Waldorf Astoria, NYC: Brooklyn triumvirate of managers past and present (L-R Casey Stengel ['34-'36], L… https://t.co/G8keqhDUJj"
55,2022-12-04 22:24:02+00:00,1599529992790380544,"RT @barneyhurley1: Isaac Hayes, the Waldorf Astoria Hotel, NYC, 1975 https://t.co/EvRtOtejEA"
56,2022-12-04 22:15:30+00:00,1599527844929232897,"RT @MJ_007Club: Taj named as World's Strongest Hotel Brand for 2022: Brand Finance Report 

Top 10 List 👇

1. 🇮🇳 Taj
2. 🇬🇧 Premier Inn
3.…"
57,2022-12-04 21:53:26+00:00,1599522292622565383,"RT @barneyhurley1: Isaac Hayes, the Waldorf Astoria Hotel, NYC, 1975 https://t.co/EvRtOtejEA"
58,2022-12-04 21:52:09+00:00,1599521967803363329,"Isaac Hayes, the Waldorf Astoria Hotel, NYC, 1975 https://t.co/EvRtOtejEA"
59,2022-12-04 21:08:10+00:00,1599510898833440768,"Literally THE Chimes of Freedom from Dylan’s song…maybe. St. Paul’s church behind the Waldorf Astoria in Toronto, w… https://t.co/DFtwMHkj7j"
60,2022-12-04 20:15:45+00:00,1599497706522779651,"Fun times last night!!! Erica @mmkeith__  classy, sexy with a lil hood ( just a little lol) @ The Roosevelt New Orl… https://t.co/YmmGUn2P5E"
61,2022-12-04 20:00:34+00:00,1599493887311192066,"28/34) Proud to present: 

SIDNEY SCHUTTE
SPECTRUM ⭐⭐
AT THE WALDORF ASTORIA AMSTERDAM

as the 28th chef for the an… https://t.co/CEd7Fdluog"
