,scrapping_date,review_rating,reviewer_name,review_date,review_title,review_content
375,2022-11-06 17:04:36.070473,5/5 Excellent,Michael,"Mar 6, 2019",,
376,2022-11-06 17:04:36.085208,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
377,2022-11-06 17:04:36.103388,5/5 Excellent,Mary,"Feb 11, 2019",,
378,2022-11-06 17:04:36.124981,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
379,2022-11-06 17:04:36.140446,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
380,2022-11-06 17:04:36.156346,5/5 Excellent,MELISSA,"Mar 12, 2019",,
381,2022-11-06 17:04:36.171244,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
382,2022-11-06 17:04:36.191188,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
383,2022-11-06 17:04:36.212578,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
384,2022-11-06 17:04:36.230060,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
385,2022-11-06 17:04:36.248742,5/5 Excellent,Michael,"Mar 6, 2019",,
386,2022-11-06 17:04:36.269312,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
387,2022-11-06 17:04:36.288194,5/5 Excellent,Mary,"Feb 11, 2019",,
388,2022-11-06 17:04:36.308690,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
389,2022-11-06 17:04:36.334492,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
390,2022-11-06 17:04:36.352543,5/5 Excellent,MELISSA,"Mar 12, 2019",,
391,2022-11-06 17:04:36.367630,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
392,2022-11-06 17:04:36.383557,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
393,2022-11-06 17:04:36.399698,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
394,2022-11-06 17:04:36.415304,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
395,2022-11-06 17:04:36.433191,5/5 Excellent,Michael,"Mar 6, 2019",,
396,2022-11-06 17:04:36.448307,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
397,2022-11-06 17:04:36.463361,5/5 Excellent,Mary,"Feb 11, 2019",,
398,2022-11-06 17:04:36.480239,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
399,2022-11-06 17:04:36.497601,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
400,2022-11-06 17:04:36.511802,5/5 Excellent,MELISSA,"Mar 12, 2019",,
401,2022-11-06 17:04:36.525878,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
402,2022-11-06 17:04:36.540295,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
403,2022-11-06 17:04:36.554556,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
404,2022-11-06 17:04:36.569191,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
405,2022-11-06 17:04:36.584198,5/5 Excellent,Michael,"Mar 6, 2019",,
406,2022-11-06 17:04:36.598886,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
407,2022-11-06 17:04:36.613569,5/5 Excellent,Mary,"Feb 11, 2019",,
408,2022-11-06 17:04:36.658401,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
409,2022-11-06 17:04:36.675342,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
410,2022-11-06 17:04:36.690652,5/5 Excellent,MELISSA,"Mar 12, 2019",,
411,2022-11-06 17:04:36.709397,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
412,2022-11-06 17:04:36.728595,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
413,2022-11-06 17:04:36.748569,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
414,2022-11-06 17:04:36.765663,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
415,2022-11-06 17:04:36.781189,5/5 Excellent,Michael,"Mar 6, 2019",,
416,2022-11-06 17:04:36.796688,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
417,2022-11-06 17:04:36.813774,5/5 Excellent,Mary,"Feb 11, 2019",,
418,2022-11-06 17:04:36.832376,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
419,2022-11-06 17:04:36.861691,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
420,2022-11-06 17:04:36.876603,5/5 Excellent,MELISSA,"Mar 12, 2019",,
421,2022-11-06 17:04:36.892203,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
422,2022-11-06 17:04:36.908228,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
423,2022-11-06 17:04:36.923453,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
424,2022-11-06 17:04:36.938974,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
425,2022-11-06 17:04:36.953865,5/5 Excellent,Michael,"Mar 6, 2019",,
426,2022-11-06 17:04:36.971565,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
427,2022-11-06 17:04:36.991296,5/5 Excellent,Mary,"Feb 11, 2019",,
428,2022-11-06 17:04:37.007067,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
429,2022-11-06 17:04:37.022239,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
430,2022-11-06 17:04:37.042936,5/5 Excellent,MELISSA,"Mar 12, 2019",,
431,2022-11-06 17:04:37.063106,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
432,2022-11-06 17:04:37.080862,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
433,2022-11-06 17:04:37.098703,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
434,2022-11-06 17:04:37.114288,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
435,2022-11-06 17:04:37.136978,5/5 Excellent,Michael,"Mar 6, 2019",,
436,2022-11-06 17:04:37.153946,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
437,2022-11-06 17:04:37.170966,5/5 Excellent,Mary,"Feb 11, 2019",,
438,2022-11-06 17:04:37.189913,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
439,2022-11-06 17:04:37.208634,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
440,2022-11-06 17:04:37.228307,5/5 Excellent,MELISSA,"Mar 12, 2019",,
441,2022-11-06 17:04:37.252199,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
442,2022-11-06 17:04:37.281701,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
443,2022-11-06 17:04:37.308277,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
444,2022-11-06 17:04:37.330195,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
445,2022-11-06 17:04:37.354110,5/5 Excellent,Michael,"Mar 6, 2019",,
446,2022-11-06 17:04:37.380411,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
447,2022-11-06 17:04:37.402766,5/5 Excellent,Mary,"Feb 11, 2019",,
448,2022-11-06 17:04:37.441480,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
449,2022-11-06 17:04:37.489296,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
450,2022-11-06 17:04:37.523011,5/5 Excellent,MELISSA,"Mar 12, 2019",,
451,2022-11-06 17:04:37.546080,5/5 Excellent,Sheree,"Mar 11, 2019",Absolutely awesome👍,It was absolutely wonderful!!!  Would stay there again in a heartbeat!
452,2022-11-06 17:04:37.568298,4/5 Good,Carrie boyer,"Mar 11, 2019",,"Beautiful hotel, friendly staff. Only complaint was we got a suite and WiFi was not working, and the fireplace was broken. We did call maintenance and they tried to fix it, but still did not work."
453,2022-11-06 17:04:37.589189,5/5 Excellent,Verified traveler,"Mar 10, 2019",,"We had a very nice room, love the fireplace. This is by far the best hotel I have stayed at."
454,2022-11-06 17:04:37.611576,5/5 Excellent,Verified traveler,"Mar 7, 2019",,"I loved that the hotel is not obvious, it’s tucked into this little corner and feels like a boutique hotel."
455,2022-11-06 17:04:37.630228,5/5 Excellent,Michael,"Mar 6, 2019",,
456,2022-11-06 17:04:37.650158,4/5 Good,Verified traveler,"Feb 18, 2019","Great hotel, but service slipping","Our check-in was delayed until about 5pm, and then we had a service member come to the room to check which of the in-room bar items had been taken by the previous guests. We were given a card for free bar items as a sort of apology, but when we gave this to the host upon arrival for brunch (to redeem) she forgot and never came back. We didn’t care to remind her, and overall brunch service was very slow. We had a good time just because this was our Valentine’s Day getaway and we were determined to, but otherwise pretty disappointing. The hotel itself is beautiful, but service did not match expectations."
457,2022-11-06 17:04:37.691132,5/5 Excellent,Mary,"Feb 11, 2019",,
458,2022-11-06 17:04:37.715008,5/5 Excellent,Verified traveler,"Feb 10, 2019",,The fireplace in the room was so nice! I loved staying at this property!
459,2022-11-06 17:04:37.735124,5/5 Excellent,Verified traveler,"Feb 7, 2019",,Great hotel and a great location. Second time to stay here. Lovely restaurant and cafe as well.
460,2022-11-06 17:04:37.755913,5/5 Excellent,Verified traveler,"Jun 23, 2018",,Best place I’Ve ever stayed. Makes you feel like you’re right at home.
461,2022-11-06 17:04:37.775485,5/5 Excellent,Verified traveler,"Jun 19, 2018",,
