,scrapping_date,review_rating,reviewer_name,review_date,review_title,review_content
224,2022-11-06 17:22:09.543271,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
225,2022-11-06 17:22:09.571905,5/5 Excellent,"Belinda Gonzalez, Lexington","Jun 18, 2022",,"Clean, fast check in, good service, perfect location."
226,2022-11-06 17:22:09.676209,5/5 Excellent,Keith,"Jun 16, 2022",,"Walking Distance to everything including the Riverfront . Great
Location and staff was fabulous.
Be sure and stop in at the bar 
And see James ."
227,2022-11-06 17:22:09.718467,4/5 Good,Verified traveler,"Jun 16, 2022",,
228,2022-11-06 17:22:09.745542,5/5 Excellent,ROBERTO,"Jun 12, 2022",,"Nice location, everything close, super nice view from the room."
229,2022-11-06 17:22:09.768613,4/5 Good,Scott,"Jun 12, 2022",,We had a very nice stay!
230,2022-11-06 17:22:09.796999,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
231,2022-11-06 17:22:09.834669,4/5 Good,Ashley,"Jun 21, 2022",,
232,2022-11-06 17:22:09.851442,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
233,2022-11-06 17:22:09.872031,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
234,2022-11-06 17:22:09.892722,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
235,2022-11-06 17:22:09.908813,5/5 Excellent,"Belinda Gonzalez, Lexington","Jun 18, 2022",,"Clean, fast check in, good service, perfect location."
236,2022-11-06 17:22:09.928178,5/5 Excellent,Keith,"Jun 16, 2022",,"Walking Distance to everything including the Riverfront . Great
Location and staff was fabulous.
Be sure and stop in at the bar 
And see James ."
237,2022-11-06 17:22:09.946365,4/5 Good,Verified traveler,"Jun 16, 2022",,
238,2022-11-06 17:22:09.962784,5/5 Excellent,ROBERTO,"Jun 12, 2022",,"Nice location, everything close, super nice view from the room."
239,2022-11-06 17:22:09.986848,4/5 Good,Scott,"Jun 12, 2022",,We had a very nice stay!
240,2022-11-06 17:22:10.007760,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
241,2022-11-06 17:22:10.027212,4/5 Good,Ashley,"Jun 21, 2022",,
242,2022-11-06 17:22:10.042351,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
243,2022-11-06 17:22:10.062330,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
244,2022-11-06 17:22:10.084703,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
245,2022-11-06 17:22:10.121106,5/5 Excellent,"Belinda Gonzalez, Lexington","Jun 18, 2022",,"Clean, fast check in, good service, perfect location."
246,2022-11-06 17:22:10.245156,5/5 Excellent,Keith,"Jun 16, 2022",,"Walking Distance to everything including the Riverfront . Great
Location and staff was fabulous.
Be sure and stop in at the bar 
And see James ."
247,2022-11-06 17:22:10.302020,4/5 Good,Verified traveler,"Jun 16, 2022",,
248,2022-11-06 17:22:10.319967,5/5 Excellent,ROBERTO,"Jun 12, 2022",,"Nice location, everything close, super nice view from the room."
249,2022-11-06 17:22:10.341295,4/5 Good,Scott,"Jun 12, 2022",,We had a very nice stay!
250,2022-11-06 17:22:10.355990,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
251,2022-11-06 17:22:10.372188,4/5 Good,Ashley,"Jun 21, 2022",,
252,2022-11-06 17:22:10.399010,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
253,2022-11-06 17:22:10.413821,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
254,2022-11-06 17:22:10.440946,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
